ITEM,LENGTH,COLOR,TYPE,PRICE,STOCK
AARU,,1,,20,176
 AARU,,001B,,20,149
 AARU,,2,,20,68
 AARU,,4,,20,64
 AARU,,DX2216,,20,61
 AARU,,DX3147,,20,69
 AARU,,DX4130,,20,92
 AARU,,DX4145,,20,92
 AARU,,F1B-30,,20,102
 AARU,,F1B-33,,20,128
 AARU,,F4-30,,20,91
BARBARA,,TTL1B_33,,33,63
 BARBARA,,TTL1B_30,,6,63
 BARBARA,,HL4_27,,9,63
 BARBARA,,HL2_BG,,13,63
 BARBARA,,HL2_613,,11,63
 BARBARA,,HL2_350,,16,63
 BARBARA,,HL2_27S,,23,63
 BARBARA,,4,,30,63
 BARBARA,,2,,10,63
 BARBARA,,001B,,14,63
 BARBARA,,1,,32,63
BARU,,1,,20,19
 BARU,,001B,,20,38
 BARU,,2,,20,10
 BARU,,4,,20,0
 BARU,,34,,20,12
 BARU,,280,,20,8
 BARU,,DX2216,,20,29
 BARU,,DX3147,,20,24
 BARU,,DX4130,,20,59
 BARU,,DX4145,,20,32
 BARU,,F1B-30,,20,28
 BARU,,F1B-33,,20,41
 BARU,,F4-30,,20,1
BECKY,,1,,27,0
 BECKY,,001B,,27,0
 BECKY,,2,,27,8
 BECKY,,4,,27,11
 BECKY,,HL2_27S,,27,4
 BECKY,,HL2_350,,27,6
 BECKY,,HL2_613,,27,11
 BECKY,,HL2_BG,,27,10
BONITA,,HL4_27,,27,5
 BONITA,,TTL1B_30,,27,0
 BONITA,,TTL1B_33,,27,7
DARU,,1,,20,27
 DARU,,001B,,20,41
 DARU,,2,,20,30
 DARU,,4,,20,17
 DARU,,34,,20,22
 DARU,,280,,20,28
 DARU,,DX2216,,20,12
 DARU,,DX3147,,20,10
 DARU,,DX4130,,20,0
 DARU,,DX4145,,20,1
 DARU,,DYTT3-68R,,20,31
 DARU,,F1B-30,,20,25
 DARU,,F1B-33,,20,8
 DARU,,F4-30,,20,24
DIAMOND,,1,,106,76
 DIAMOND,,001B,,106,45
 DIAMOND,,2,,106,4
 DIAMOND,,4,,106,14
 DIAMOND,,613,,106,0
 DIAMOND,,F1B-27S,,106,52
 DIAMOND,,F1B-30,,106,88
 DIAMOND,,F1B-33,,106,66
 DIAMOND,,F1B-99J,,106,8
 DIAMOND,,F237,,106,50
 DIAMOND,,F4-27,,106,68
 DIAMOND,,F4-30,,106,5
 DIAMOND,,P27-613,,106,16
ESTHER,,TT1B-BG,,100,54
 ESTHER,,1,,58,20
 ESTHER,,001B,,58,29
 ESTHER,,2,,58,0
 ESTHER,,4,,58,6
 ESTHER,,F1B-27S,,58,4
 ESTHER,,F1B-30,,58,16
 ESTHER,,F1B-33,,58,9
 ESTHER,,F1B-BG,,58,21
 ESTHER,,F4-30,,58,4
 ESTHER,,P27-613,,58,0
 ESTHER,,PT4-30-33,,58,31
 ESTHER,,TT1B-27,,58,48
 ESTHER,,TT1B-30,,58,32
 ESTHER,,TT1B-33,,58,46
 ESTHER,,TT1B-BG,,58,54
EVE HH,,1,,110,1
 EVE HH,,001B,,110,19
 EVE HH,,2,,110,16
 EVE HH,,4,,110,12
 EVE HH,,P1B-30,,110,18
 EVE HH,,P27-613,,110,0
 EVE HH,,P4-27,,110,5
 EVE HH,,P4-30,,110,24
HARU,,1,,20,22
 HARU,,001B,,20,9
 HARU,,2,,20,37
 HARU,,4,,20,11
 HARU,,DX2216,,20,37
 HARU,,DX3147,,20,32
 HARU,,DX4130,,20,53
 HARU,,DX4145,,20,48
 HARU,,F1B-30,,20,32
 HARU,,F1B-33,,20,92
 HARU,,F4-30,,20,42
 HARU,,TTOL1B-BLUE,,20,31
 HARU,,TTOL1B-PINK,,20,21
JADA,,1,,44,12
 JADA,,001B,,44,12
 JADA,,2,,44,11
 JADA,,4,,44,11
 JADA,,F1B-27S,,44,9
 JADA,,F1B-30,,44,4
 JADA,,F1B-33,,44,13
 JADA,,F237,,44,1
 JADA,,P27-613,,44,3
 JADA,,TT1B-33,,44,12
 JADA,,TT1B-350,,44,25
JANE H,,1,,34,0
JANE H,,001B,,34,2
JANE H,,2,,34,0
JANE H,,4,,34,0
JANE H,,6,,34,40
JANE H,,8,,34,2
JANE H,,F1B_30,,34,0
JANE H,,F1B_33,,34,-2
JANE H,,F237,,34,6
JANE H,,M99J_350,,34,0
JANE H,,P1B_144,,34,72
JANE H,,P1B_27,,34,57
JANE H,,P1B_350,,34,11
JANE H,,P1B_BG,,34,53
JANE H,,P27_613,,34,0
JANE H,,T1B_27,,34,72
JANE H,,T1B_BG,,34,33
JANE H,,T4_118_144,,34,65
JANE H,,TT1B_30,,34,2
JANE H,,TT1B_33,,34,5
JULIE H II,10,1,Inch,51,8
 JULIE H II,10,001B,Inch,51,4
 JULIE H II,10,2,Inch,51,5
 JULIE H II,10,4,Inch,51,9
 JULIE H II,10,F1B-27S,Inch,51,13
 JULIE H II,10,F1B-30,Inch,51,4
 JULIE H II,10,F1B-33,Inch,51,8
 JULIE H II,10,F1B-BG,Inch,51,0
 JULIE H II,11,F237,Inch,51,10
 JULIE H II,11,F4-27,Inch,51,2
 JULIE H II,11,F4-30,Inch,51,9
 JULIE H II,11,P14-27-22,Inch,51,1
 JULIE H II,11,P27-30-33,Inch,51,23
 JULIE H II,11,P27-613,Inch,51,9
 JULIE H II,11,PH27-16-24,Inch,51,4
 JULIE H II,11,PH33-27-613,Inch,51,61
 JULIE H II,11,TT1B-BG,Inch,51,18
KASSIA,,1,Inch,66,18
 KASSIA,,001B,Inch,66,21
 KASSIA,,2,Inch,66,19
 KASSIA,,4,Inch,66,16
 KASSIA,,F1B_27,Inch,66,2
 KASSIA,,F1B_27S,Inch,66,5
 KASSIA,,F1B_30,Inch,66,8
 KASSIA,,F1B_33,Inch,66,3
 KASSIA,,F237,Inch,66,6
 KASSIA,,F4_27,Inch,66,4
 KASSIA,,F4_30,Inch,66,15
 KASSIA,,P27_613,Inch,66,7
LACE-001,,1,,350,6
 LACE-001,,001B,,350,6
 LACE-001,,2,,350,3
 LACE-001,,4,,350,9
 LACE-001,,6,,350,6
 LACE-001,,8,,350,11
 LACE-001,,P10-16,,350,8
 LACE-001,,P14-24,,350,13
 LACE-001,,P1B-30,,350,6
 LACE-001,,P27-613,,350,5
 LACE-001,,P4-27,,350,10
 LACE-001,,P4-30,,350,6
 LACE-001,,P6-27,,350,10
LACE-002,,1,Inch,350,17
 LACE-002,,001B,Inch,350,6
 LACE-002,,2,Inch,350,9
 LACE-002,,4,Inch,350,4
 LACE-002,,6,Inch,350,9
 LACE-002,,8,Inch,350,11
 LACE-002,,P10-16,Inch,350,12
 LACE-002,,P14-24,Inch,350,12
 LACE-002,,P1B-30,Inch,350,7
 LACE-002,,P27-613,Inch,350,10
 LACE-002,,P4-27,Inch,350,11
 LACE-002,,P4-30,Inch,350,8
 LACE-002,,P6-27,Inch,350,12
LACE-003,,1,,100,26
 LACE-003,,001B,,100,23
 LACE-003,,2,,100,0
 LACE-003,,4,,100,11
 LACE-003,,6,,100,1
 LACE-003,,P10-16,,100,1
 LACE-003,,P14-24,,100,2
 LACE-003,,P1B-30,,100,3
 LACE-003,,P4-27,,100,1
 LACE-003,,P4-30,,100,3
 LACE-003,,P6-27,,100,1
LACE-004,,1,,150,2
 LACE-004,,001B,,150,9
 LACE-004,,2,,150,3
 LACE-004,,4,,150,3
 LACE-004,,6,,150,3
 LACE-004,,8,,150,2
 LACE-004,,P10-16,,150,8
